Episode no = 10; won: False; Q(s,a) = nan; reward = -479.0; and epsilon = 0.9986666666666667, win percentage = 0.0, 2024-05-06 06:35:23
Episode no = 20; won: False; Q(s,a) = -0.5718314714388123; reward = -384.0; and epsilon = 0.9973333333333333, win percentage = 0.0, 2024-05-06 06:35:32
Episode no = 30; won: False; Q(s,a) = nan; reward = -480.0; and epsilon = 0.996, win percentage = 0.0, 2024-05-06 06:35:42
Episode no = 40; won: False; Q(s,a) = nan; reward = -483.0; and epsilon = 0.9946666666666667, win percentage = 0.0, 2024-05-06 06:35:49
Episode no = 50; won: False; Q(s,a) = nan; reward = -473.0; and epsilon = 0.9933333333333333, win percentage = 0.0, 2024-05-06 06:35:55
Episode no = 60; won: False; Q(s,a) = -0.5825114639545104; reward = -453.0; and epsilon = 0.992, win percentage = 0.0, 2024-05-06 06:36:11
Episode no = 70; won: False; Q(s,a) = nan; reward = -447.0; and epsilon = 0.9906666666666667, win percentage = 0.0, 2024-05-06 06:36:27
Episode no = 80; won: False; Q(s,a) = nan; reward = -452.0; and epsilon = 0.9893333333333333, win percentage = 0.0, 2024-05-06 06:36:41
Episode no = 90; won: False; Q(s,a) = nan; reward = -438.0; and epsilon = 0.988, win percentage = 0.0, 2024-05-06 06:36:55
Episode no = 100; won: False; Q(s,a) = nan; reward = -478.0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-05-06 06:37:10
Episode no = 110; won: False; Q(s,a) = -0.7017820306680406; reward = -456.0; and epsilon = 0.9853333333333333, win percentage = 0.0, 2024-05-06 06:38:32
Episode no = 120; won: False; Q(s,a) = nan; reward = -502.0; and epsilon = 0.984, win percentage = 0.0, 2024-05-06 06:40:33
Episode no = 10; won: False; Q(s,a) = nan; reward = -473.0; and epsilon = 0.9986666666666667, win percentage = 0.0, 2024-05-06 06:45:06
Episode no = 20; won: False; Q(s,a) = nan; reward = -484.0; and epsilon = 0.9973333333333333, win percentage = 0.0, 2024-05-06 06:45:12
Episode no = 30; won: False; Q(s,a) = nan; reward = -482.0; and epsilon = 0.996, win percentage = 0.0, 2024-05-06 06:45:22
Episode no = 40; won: False; Q(s,a) = nan; reward = -463.0; and epsilon = 0.9946666666666667, win percentage = 0.0, 2024-05-06 06:45:33
Episode no = 50; won: False; Q(s,a) = nan; reward = -467.0; and epsilon = 0.9933333333333333, win percentage = 0.0, 2024-05-06 06:45:43
Episode no = 60; won: False; Q(s,a) = nan; reward = -456.0; and epsilon = 0.992, win percentage = 0.0, 2024-05-06 06:45:56
Episode no = 70; won: False; Q(s,a) = nan; reward = -449.0; and epsilon = 0.9906666666666667, win percentage = 0.0, 2024-05-06 06:46:19
Episode no = 80; won: False; Q(s,a) = nan; reward = -398.0; and epsilon = 0.9893333333333333, win percentage = 0.0, 2024-05-06 06:47:00
Episode no = 90; won: False; Q(s,a) = -0.29206203276819087; reward = -408.0; and epsilon = 0.988, win percentage = 0.0, 2024-05-06 06:49:02
Episode no = 100; won: False; Q(s,a) = nan; reward = -469.0; and epsilon = 0.9866666666666667, win percentage = 0.0, 2024-05-06 06:51:30
Episode no = 110; won: False; Q(s,a) = 7.428033562086467; reward = -491.0; and epsilon = 0.9853333333333333, win percentage = 0.0, 2024-05-06 06:53:56
Episode no = 120; won: False; Q(s,a) = nan; reward = -491.0; and epsilon = 0.984, win percentage = 0.0, 2024-05-06 06:56:04
Episode no = 130; won: False; Q(s,a) = 11.880511004170852; reward = -451.0; and epsilon = 0.9826666666666667, win percentage = 0.0, 2024-05-06 06:56:49
Episode no = 140; won: False; Q(s,a) = -0.7354403275921308; reward = -322.0; and epsilon = 0.9813333333333333, win percentage = 0.0, 2024-05-06 06:56:58
Episode no = 150; won: False; Q(s,a) = 1.2696888662138655; reward = -474.0; and epsilon = 0.98, win percentage = 0.0, 2024-05-06 06:57:06
Episode no = 160; won: False; Q(s,a) = 0.4315943139145398; reward = -441.0; and epsilon = 0.9786666666666667, win percentage = 0.0, 2024-05-06 06:57:18
Episode no = 170; won: False; Q(s,a) = nan; reward = -458.0; and epsilon = 0.9773333333333334, win percentage = 0.0, 2024-05-06 06:57:24
Episode no = 180; won: False; Q(s,a) = nan; reward = -473.0; and epsilon = 0.976, win percentage = 0.0, 2024-05-06 06:57:31
Episode no = 190; won: False; Q(s,a) = 9.789799240515224; reward = -444.0; and epsilon = 0.9746666666666667, win percentage = 0.0, 2024-05-06 06:57:39
Episode no = 200; won: False; Q(s,a) = nan; reward = -428.0; and epsilon = 0.9733333333333334, win percentage = 0.0, 2024-05-06 06:57:45
Episode no = 210; won: False; Q(s,a) = 18.05922784904868; reward = -441.0; and epsilon = 0.972, win percentage = 0.0, 2024-05-06 06:57:55
Episode no = 220; won: False; Q(s,a) = 20.41179044074277; reward = -416.0; and epsilon = 0.9706666666666667, win percentage = 0.0, 2024-05-06 06:58:06
Episode no = 230; won: False; Q(s,a) = 22.05351835563532; reward = -443.0; and epsilon = 0.9693333333333334, win percentage = 0.0, 2024-05-06 06:58:14
Episode no = 240; won: False; Q(s,a) = nan; reward = -474.0; and epsilon = 0.968, win percentage = 0.0, 2024-05-06 06:58:25
Episode no = 250; won: False; Q(s,a) = nan; reward = -501.0; and epsilon = 0.9666666666666667, win percentage = 0.0, 2024-05-06 06:58:33
Episode no = 260; won: False; Q(s,a) = -1.856814099075139; reward = -470.0; and epsilon = 0.9653333333333334, win percentage = 0.0, 2024-05-06 06:58:43
Episode no = 270; won: False; Q(s,a) = nan; reward = -437.0; and epsilon = 0.964, win percentage = 0.0, 2024-05-06 06:58:55
Episode no = 280; won: False; Q(s,a) = -0.8036984200239682; reward = -299.0; and epsilon = 0.9626666666666667, win percentage = 0.0, 2024-05-06 06:59:08
Episode no = 290; won: False; Q(s,a) = nan; reward = -488.0; and epsilon = 0.9613333333333334, win percentage = 0.0, 2024-05-06 06:59:20
